repo,stars,score,language,badge_markdown,pr_description,share_url
cloudflare/sandbox-sdk,943,97,TypeScript,[![Stack Health](https://indiestack.ai/api/badge/health/cloudflare/sandbox-sdk.svg)](https://indiestack.ai/analyze),"Hey! I ran a dependency health analysis on your project and it scored 97/100 — that puts it in the top 5% of projects we've analyzed.

Added a live health badge to your README so visitors can see your stack is well-maintained. The badge updates automatically.

Powered by [IndieStack](https://indiestack.ai/analyze) — free dependency health scoring.",https://indiestack.ai/analyze/wTimmheXoh0
binaricat/Netcatty,809,96,TypeScript,[![Stack Health](https://indiestack.ai/api/badge/health/binaricat/Netcatty.svg)](https://indiestack.ai/analyze),"Hey! I ran a dependency health analysis on your project and it scored 96/100 — that puts it in the top 5% of projects we've analyzed.

Added a live health badge to your README so visitors can see your stack is well-maintained. The badge updates automatically.

Powered by [IndieStack](https://indiestack.ai/analyze) — free dependency health scoring.",https://indiestack.ai/analyze/DVNUPbYczaE
LedgerHQ/ledger-live,570,96,TypeScript,[![Stack Health](https://indiestack.ai/api/badge/health/LedgerHQ/ledger-live.svg)](https://indiestack.ai/analyze),"Hey! I ran a dependency health analysis on your project and it scored 96/100 — that puts it in the top 5% of projects we've analyzed.

Added a live health badge to your README so visitors can see your stack is well-maintained. The badge updates automatically.

Powered by [IndieStack](https://indiestack.ai/analyze) — free dependency health scoring.",https://indiestack.ai/analyze/IIynnbpmfts
prisma/studio,2188,94,TypeScript,[![Stack Health](https://indiestack.ai/api/badge/health/prisma/studio.svg)](https://indiestack.ai/analyze),"Hey! I ran a dependency health analysis on your project and it scored 94/100 — that puts it in the top 5% of projects we've analyzed.

Added a live health badge to your README so visitors can see your stack is well-maintained. The badge updates automatically.

Powered by [IndieStack](https://indiestack.ai/analyze) — free dependency health scoring.",https://indiestack.ai/analyze/i72rXBZJTLM
auth0/react-native-auth0,541,93,TypeScript,[![Stack Health](https://indiestack.ai/api/badge/health/auth0/react-native-auth0.svg)](https://indiestack.ai/analyze),"Hey! I ran a dependency health analysis on your project and it scored 93/100 — that puts it in the top 5% of projects we've analyzed.

Added a live health badge to your README so visitors can see your stack is well-maintained. The badge updates automatically.

Powered by [IndieStack](https://indiestack.ai/analyze) — free dependency health scoring.",https://indiestack.ai/analyze/whFO9IR63b0
SilenceLeo/snowb-bmf,536,93,TypeScript,[![Stack Health](https://indiestack.ai/api/badge/health/SilenceLeo/snowb-bmf.svg)](https://indiestack.ai/analyze),"Hey! I ran a dependency health analysis on your project and it scored 93/100 — that puts it in the top 5% of projects we've analyzed.

Added a live health badge to your README so visitors can see your stack is well-maintained. The badge updates automatically.

Powered by [IndieStack](https://indiestack.ai/analyze) — free dependency health scoring.",https://indiestack.ai/analyze/fj8L-qaIWPw
Tencent/cherry-markdown,4634,92,JavaScript,[![Stack Health](https://indiestack.ai/api/badge/health/Tencent/cherry-markdown.svg)](https://indiestack.ai/analyze),"Hey! I ran a dependency health analysis on your project and it scored 92/100 — that puts it in the top 5% of projects we've analyzed.

Added a live health badge to your README so visitors can see your stack is well-maintained. The badge updates automatically.

Powered by [IndieStack](https://indiestack.ai/analyze) — free dependency health scoring.",https://indiestack.ai/analyze/ysyObfkKnb4
Rel1cx/eslint-react,508,91,TypeScript,[![Stack Health](https://indiestack.ai/api/badge/health/Rel1cx/eslint-react.svg)](https://indiestack.ai/analyze),"Hey! I ran a dependency health analysis on your project and it scored 91/100 — that puts it in the top 5% of projects we've analyzed.

Added a live health badge to your README so visitors can see your stack is well-maintained. The badge updates automatically.

Powered by [IndieStack](https://indiestack.ai/analyze) — free dependency health scoring.",https://indiestack.ai/analyze/LQhThTrI3K8
mattermost/mattermost-mobile,2627,91,TypeScript,[![Stack Health](https://indiestack.ai/api/badge/health/mattermost/mattermost-mobile.svg)](https://indiestack.ai/analyze),"Hey! I ran a dependency health analysis on your project and it scored 91/100 — that puts it in the top 5% of projects we've analyzed.

Added a live health badge to your README so visitors can see your stack is well-maintained. The badge updates automatically.

Powered by [IndieStack](https://indiestack.ai/analyze) — free dependency health scoring.",https://indiestack.ai/analyze/-cyJRBeG6kg
igrigorik/videospeed,4277,91,JavaScript,[![Stack Health](https://indiestack.ai/api/badge/health/igrigorik/videospeed.svg)](https://indiestack.ai/analyze),"Hey! I ran a dependency health analysis on your project and it scored 91/100 — that puts it in the top 5% of projects we've analyzed.

Added a live health badge to your README so visitors can see your stack is well-maintained. The badge updates automatically.

Powered by [IndieStack](https://indiestack.ai/analyze) — free dependency health scoring.",https://indiestack.ai/analyze/0TJDpZ-UaCo
jellyfin/jellyfin-web,3454,91,JavaScript,[![Stack Health](https://indiestack.ai/api/badge/health/jellyfin/jellyfin-web.svg)](https://indiestack.ai/analyze),"Hey! I ran a dependency health analysis on your project and it scored 91/100 — that puts it in the top 5% of projects we've analyzed.

Added a live health badge to your README so visitors can see your stack is well-maintained. The badge updates automatically.

Powered by [IndieStack](https://indiestack.ai/analyze) — free dependency health scoring.",https://indiestack.ai/analyze/7Iewx5AVPxY
webpack/mini-css-extract-plugin,4663,91,JavaScript,[![Stack Health](https://indiestack.ai/api/badge/health/webpack/mini-css-extract-plugin.svg)](https://indiestack.ai/analyze),"Hey! I ran a dependency health analysis on your project and it scored 91/100 — that puts it in the top 5% of projects we've analyzed.

Added a live health badge to your README so visitors can see your stack is well-maintained. The badge updates automatically.

Powered by [IndieStack](https://indiestack.ai/analyze) — free dependency health scoring.",https://indiestack.ai/analyze/jdgqwGtKaMg
dashersw/gea,617,90,JavaScript,[![Stack Health](https://indiestack.ai/api/badge/health/dashersw/gea.svg)](https://indiestack.ai/analyze),"Hey! I ran a dependency health analysis on your project and it scored 90/100 — that puts it in the top 5% of projects we've analyzed.

Added a live health badge to your README so visitors can see your stack is well-maintained. The badge updates automatically.

Powered by [IndieStack](https://indiestack.ai/analyze) — free dependency health scoring.",https://indiestack.ai/analyze/NurARbEBqzs
GoogleForCreators/web-stories-wp,794,90,JavaScript,[![Stack Health](https://indiestack.ai/api/badge/health/GoogleForCreators/web-stories-wp.svg)](https://indiestack.ai/analyze),"Hey! I ran a dependency health analysis on your project and it scored 90/100 — that puts it in the top 5% of projects we've analyzed.

Added a live health badge to your README so visitors can see your stack is well-maintained. The badge updates automatically.

Powered by [IndieStack](https://indiestack.ai/analyze) — free dependency health scoring.",https://indiestack.ai/analyze/05q7IMl0qJ8
redwoodjs/sdk,1545,90,TypeScript,[![Stack Health](https://indiestack.ai/api/badge/health/redwoodjs/sdk.svg)](https://indiestack.ai/analyze),"Hey! I ran a dependency health analysis on your project and it scored 90/100 — that puts it in the top 5% of projects we've analyzed.

Added a live health badge to your README so visitors can see your stack is well-maintained. The badge updates automatically.

Powered by [IndieStack](https://indiestack.ai/analyze) — free dependency health scoring.",https://indiestack.ai/analyze/QJC3jQpywWw
TanStack/hotkeys,553,90,TypeScript,[![Stack Health](https://indiestack.ai/api/badge/health/TanStack/hotkeys.svg)](https://indiestack.ai/analyze),"Hey! I ran a dependency health analysis on your project and it scored 90/100 — that puts it in the top 5% of projects we've analyzed.

Added a live health badge to your README so visitors can see your stack is well-maintained. The badge updates automatically.

Powered by [IndieStack](https://indiestack.ai/analyze) — free dependency health scoring.",https://indiestack.ai/analyze/o3IQ_uat7Bs
